,A_M13DKO_080212_CTRL4.8_crop_distance,A_M13DKO_080212_CTRL4.8_crop_diameter,B_M13DKO_080212_CTRL4.8_crop_distance,B_M13DKO_080212_CTRL4.8_crop_diameter,F_M13DKO_060212_CTRL7.2_crop_distance,F_M13DKO_060212_CTRL7.2_crop_diameter,F_M13DKO_080212_CTRL6.7B_crop_distance,F_M13DKO_080212_CTRL6.7B_crop_diameter,C_M13DKO_060212_CTRL7.2_crop_distance,C_M13DKO_060212_CTRL7.2_crop_diameter,A_M13DKO_080212_CTRL6.7B_crop_distance,A_M13DKO_080212_CTRL6.7B_crop_diameter
0,0.0,45.10659722111719,0.0,43.031607685816496,1.554,59.141287909587376,2.6916069549620354,45.48512075696828,0.0,47.09024278669811,6.216,47.81289742868499
1,1.554,50.26043018499918,12.624755680804284,48.75977939805501,1.554,49.91813042345726,3.4748496370346733,39.42752527305825,0.0,46.96871937691663,6.407306142209845,45.48512075696828
2,2.19768787592779,47.81289742868499,18.32138979444518,47.81289742868499,1.554,56.26909744547573,4.39537575185558,49.91813042345726,0.0,41.819205728975206,7.7700000000000005,52.48540900511086
3,2.6916069549620354,43.95147120000001,21.64471538274412,45.10659722111719,1.554,47.81289742868499,7.77,49.91813042345726,0.0,46.96871937691663,7.923876324123188,49.91813042345726
4,3.4748496370346733,48.75977939805501,21.756,48.75977939805501,3.108,50.26043018499918,8.927050352720096,48.40686923918031,16.519246592989646,41.13020956412944,9.57949936061379,50.8258071396247
5,19.47156418986416,43.29642007870028,25.67629389144781,45.10659722111719,4.914179483901662,47.81289742868499,18.648,49.91813042345726,26.04978687052929,44.46856512026162,9.950455064970647,45.48512075696828
6,26.463666412649623,54.51509065097238,27.885533023415565,44.08131334757461,6.59306362778337,52.81107133775702,31.504451685436457,52.5941871715535,26.234539447072443,51.60693007739111,11.313290767941925,49.91813042345726
7,31.15760311705636,48.75977939805501,29.526,46.96871937691663,12.528748540855943,48.75977939805501,31.58101182672905,46.96871937691663,27.005640744111226,48.40686923918032,11.419521180855176,50.26043018499918
8,34.748496370346736,45.98497225710271,29.93215388173728,48.40686923918031,28.94781255984638,46.96871937691663,32.074198602615155,56.67391631552351,,,11.419521180855178,57.37547691442199
9,,,32.634,47.81289742868499,37.6824973694685,49.91813042345726,,,,,11.834911406512512,47.45294577914065
10,,,35.53872631369897,50.26043018499918,,,,,,,11.936500492187816,49.91813042345726
11,,,37.4575252252468,48.75977939805501,,,,,,,12.137127996358942,49.91813042345726
12,,,,,,,,,,,12.528748540855945,46.96871937691663
13,,,,,,,,,,,13.36801346498424,45.35929722199581
14,,,,,,,,,,,28.144137009331093,52.48540900511086
15,,,,,,,,,,,29.48507690340997,50.26043018499918
16,,,,,,,,,,,39.61938162061595,50.26043018499918
