,A_M13DKO_080212_CTRL4.8_crop_seg_id,A_M13DKO_080212_CTRL4.8_crop_distance,A_M13DKO_080212_CTRL4.8_crop_diameter,B_M13DKO_080212_CTRL4.8_crop_seg_id,B_M13DKO_080212_CTRL4.8_crop_distance,B_M13DKO_080212_CTRL4.8_crop_diameter,F_M13DKO_060212_CTRL7.2_crop_seg_id,F_M13DKO_060212_CTRL7.2_crop_distance,F_M13DKO_060212_CTRL7.2_crop_diameter,F_M13DKO_080212_CTRL6.7B_crop_seg_id,F_M13DKO_080212_CTRL6.7B_crop_distance,F_M13DKO_080212_CTRL6.7B_crop_diameter,C_M13DKO_060212_CTRL7.2_crop_seg_id,C_M13DKO_060212_CTRL7.2_crop_distance,C_M13DKO_060212_CTRL7.2_crop_diameter,A_M13DKO_080212_CTRL6.7B_crop_seg_id,A_M13DKO_080212_CTRL6.7B_crop_distance,A_M13DKO_080212_CTRL6.7B_crop_diameter
0,8.0,0.0,45.10659722111719,16.0,0.0,43.031607685816496,17.0,1.554,59.141287909587376,2.0,2.6916069549620354,45.48512075696828,22.0,0.0,47.09024278669811,29,6.216,47.81289742868499
1,72.0,1.554,50.26043018499918,3.0,12.624755680804284,48.75977939805501,21.0,1.554,49.91813042345726,41.0,3.4748496370346733,39.42752527305825,56.0,0.0,46.96871937691663,11,6.407306142209845,45.48512075696828
2,6.0,2.19768787592779,47.81289742868499,13.0,18.32138979444518,47.81289742868499,83.0,1.554,56.26909744547573,6.0,4.39537575185558,49.91813042345726,66.0,0.0,41.819205728975206,8,7.7700000000000005,52.48540900511086
3,4.0,2.6916069549620354,43.95147120000001,69.0,21.64471538274412,45.10659722111719,98.0,1.554,47.81289742868499,7.0,7.77,49.91813042345726,68.0,0.0,46.96871937691663,2,7.923876324123188,49.91813042345726
4,69.0,3.4748496370346733,48.75977939805501,14.0,21.756,48.75977939805501,1.0,3.108,50.26043018499918,21.0,8.927050352720096,48.40686923918031,63.0,16.519246592989646,41.13020956412944,75,9.57949936061379,50.8258071396247
5,71.0,19.47156418986416,43.29642007870028,1.0,25.67629389144781,45.10659722111719,101.0,4.914179483901662,47.81289742868499,13.0,18.648,49.91813042345726,3.0,26.04978687052929,44.46856512026162,22,9.950455064970647,45.48512075696828
6,10.0,26.463666412649623,54.51509065097238,29.0,27.885533023415565,44.08131334757461,27.0,6.59306362778337,52.81107133775702,25.0,31.504451685436457,52.5941871715535,45.0,26.234539447072443,51.60693007739111,72,11.313290767941925,49.91813042345726
7,70.0,31.15760311705636,48.75977939805501,71.0,29.526,46.96871937691663,82.0,12.528748540855943,48.75977939805501,29.0,31.58101182672905,46.96871937691663,29.0,27.005640744111226,48.40686923918032,42,11.419521180855176,50.26043018499918
8,7.0,34.748496370346736,45.98497225710271,54.0,29.93215388173728,48.40686923918031,6.0,28.94781255984638,46.96871937691663,34.0,32.074198602615155,56.67391631552351,,,,70,11.419521180855178,57.37547691442199
9,,,,65.0,32.634,47.81289742868499,89.0,37.6824973694685,49.91813042345726,,,,,,,28,11.834911406512512,47.45294577914065
10,,,,11.0,35.53872631369897,50.26043018499918,,,,,,,,,,61,11.936500492187816,49.91813042345726
11,,,,68.0,37.4575252252468,48.75977939805501,,,,,,,,,,74,12.137127996358942,49.91813042345726
12,,,,,,,,,,,,,,,,55,12.528748540855945,46.96871937691663
13,,,,,,,,,,,,,,,,10,13.36801346498424,45.35929722199581
14,,,,,,,,,,,,,,,,25,28.144137009331093,52.48540900511086
15,,,,,,,,,,,,,,,,19,29.48507690340997,50.26043018499918
16,,,,,,,,,,,,,,,,23,39.61938162061595,50.26043018499918
