,A_M13DKO_080212_CTRL4.8_crop_seg_id,A_M13DKO_080212_CTRL4.8_crop_distance,B_M13DKO_080212_CTRL4.8_crop_seg_id,B_M13DKO_080212_CTRL4.8_crop_distance,F_M13DKO_060212_CTRL7.2_crop_seg_id,F_M13DKO_060212_CTRL7.2_crop_distance,F_M13DKO_080212_CTRL6.7B_crop_seg_id,F_M13DKO_080212_CTRL6.7B_crop_distance,C_M13DKO_060212_CTRL7.2_crop_seg_id,C_M13DKO_060212_CTRL7.2_crop_distance,A_M13DKO_080212_CTRL6.7B_crop_seg_id,A_M13DKO_080212_CTRL6.7B_crop_distance
0,8.0,0.0,16.0,0.0,17.0,1.554,2.0,2.6916069549620354,22.0,0.0,29,6.216
1,72.0,1.554,3.0,12.624755680804284,21.0,1.554,41.0,3.4748496370346733,56.0,0.0,11,6.407306142209845
2,6.0,2.19768787592779,13.0,18.32138979444518,83.0,1.554,6.0,4.39537575185558,66.0,0.0,8,7.7700000000000005
3,4.0,2.6916069549620354,69.0,21.64471538274412,98.0,1.554,7.0,7.77,68.0,0.0,2,7.923876324123188
4,69.0,3.4748496370346733,14.0,21.756,1.0,3.108,21.0,8.927050352720096,63.0,16.519246592989646,75,9.57949936061379
5,71.0,19.47156418986416,1.0,25.67629389144781,101.0,4.914179483901662,13.0,18.648,3.0,26.04978687052929,22,9.950455064970647
6,10.0,26.463666412649623,29.0,27.885533023415565,27.0,6.59306362778337,25.0,31.504451685436457,45.0,26.234539447072443,72,11.313290767941925
7,70.0,31.15760311705636,71.0,29.526,82.0,12.528748540855943,29.0,31.58101182672905,29.0,27.005640744111226,42,11.419521180855176
8,7.0,34.748496370346736,54.0,29.93215388173728,6.0,28.94781255984638,34.0,32.074198602615155,,,70,11.419521180855178
9,,,65.0,32.634,89.0,37.6824973694685,,,,,28,11.834911406512512
10,,,11.0,35.53872631369897,,,,,,,61,11.936500492187816
11,,,68.0,37.4575252252468,,,,,,,74,12.137127996358942
12,,,,,,,,,,,55,12.528748540855945
13,,,,,,,,,,,10,13.36801346498424
14,,,,,,,,,,,25,28.144137009331093
15,,,,,,,,,,,19,29.48507690340997
16,,,,,,,,,,,23,39.61938162061595
