,A_M13DKO_080212_DKO1.2_crop,G_M13DKO_060212_DKO1.1_crop,C_M13DKO_080212_DKO1.2_crop,E_M13DKO_080212_DKO1.2_crop,H_M13DKO_080212_DKO1.2_crop
0,9.061299244589597,58.57982277200914,8.368546110287019,14.660406679215964,6.216
1,9.57949936061379,86.71821275833584,9.828358967803323,14.660406679215964,7.121322629961376
2,10.19025946676531,88.16810423276662,17.65004713874725,20.14214209065163,8.368546110287019
3,13.277381820223445,98.52899228145998,22.57315387800296,24.57089741950831,11.419521180855176
4,15.847752648246376,,30.885139144902684,27.13944325147441,63.78975983651295
5,16.519246592989646,,41.26155329116926,31.46610176046597,78.41158164455044
6,27.885533023415565,,47.543257944739125,35.742000000000004,82.08298020905431
7,31.42770503870749,,49.16635959678121,41.26155329116925,93.48572620459232
8,46.98120075093867,,59.15414849357567,52.261553708247135,
9,70.2744848433626,,75.63686934293354,53.607369269532334,
10,73.71269225852492,,76.73047118322681,68.51712708513107,
11,77.73107378648515,,76.90337628479,71.6527139472051,
12,79.42141142034684,,83.90160987728423,72.92218477253682,
13,81.31445140932823,,85.6534576535005,82.00939616897567,
14,90.1989578875499,,86.73213556692814,84.84612304637143,
15,95.02300207844416,,86.746056140899,85.3569069964464,
16,,,93.69215367361346,87.57724142721099,
17,,,93.92384227660196,,
18,,,97.76623920352056,,
19,,,99.31020563869556,,
