,E_SNAP25_120812_CTRL2.3_14_crop_distance,E_SNAP25_120812_CTRL2.3_14_crop_diameter,C_SNAP25_12082_CTRL2.3_5_crop_distance,C_SNAP25_12082_CTRL2.3_5_crop_diameter,D_SNAP25_12082_CTRL2.3_5_crop_distance,D_SNAP25_12082_CTRL2.3_5_crop_diameter,B_SNAP25_120812_CTRL1.4_4_crop_distance,B_SNAP25_120812_CTRL1.4_4_crop_diameter,B_SNAP25_120812_CTRL1.3_13_crop_distance,B_SNAP25_120812_CTRL1.3_13_crop_diameter
0,0.0,56.67391631552351,0.0,27.0470592,0.0,44.08131334757461,0.0,49.91813042345726,1.554,48.05136722436951
1,0.0,54.51509065097238,0.0,40.71121517937428,1.554,59.8139155734108,0.0,45.98497225710271,2.19768787592779,48.75977939805501
2,32.3366452805482,45.48512075696828,0.0,48.75977939805501,3.108,42.36233505146845,0.0,43.95147120000001,2.19768787592779,47.45294577914065
3,38.91211035140603,52.81107133775702,0.0,48.40686923918031,3.4748496370346733,54.5150906509724,0.0,48.40686923918031,4.662000000000001,50.26043018499918
4,,,0.0,43.29642007870028,5.154034924212291,47.81289742868499,0.0,44.46856512026162,4.914179483901662,49.22639078946891
5,,,1.554,47.81289742868499,32.14940198510697,42.36233505146845,0.0,49.22639078946891,5.154034924212291,46.96871937691663
6,,,18.648000000000003,50.26043018499918,,,0.0,50.71323599999999,5.814535579046705,47.81289742868499
7,,,22.679883333033263,46.96871937691663,,,2.19768787592779,49.91813042345726,6.407306142209845,48.05136722436951
8,,,,,,,23.5162872069551,45.98497225710271,14.411203142000323,46.96871937691663
9,,,,,,,39.558381766700215,42.76515554070582,,
